id,address,sq ft,pets,lease,avail,rent $,parking,Location,Unit Type,Lease Type,Rent,Available,Bedroom(s),Bathroom(s),Square Footage,Resident Utilities,Laundry Location,School District,Parking Details,Pets Allowed,Restrictions,Amenities,Link
11255_343,15 N Hancock St #210,280,C*,Standard,8/1/24,$945,$,Downtown,Apartment,Standard,$945 /mo,8/1/2024,Studio,1.0,280 Sq Ft,"Unit Electricity (Heat, Stove, A/C).","On Site (Washer: $1.50, Dryer: $1.25)","Elem: Lapham-Marquette, Mid: O'Keeffe, High: East",Paid Parking (Subject To Availability); Paid Parking,CatsPet Restrictions: Max of 2 cats per unit. No Dogs,No Smoking Allowed. A 650 credit score requirement applies for applications.,"['Carpeted', 'Air Conditioning', 'Bus route nearby', '']",https://www.madisonproperty.com/unit?id=11255_343
11256_343,15 N Hancock St #301,334,C*,Standard,7/1/24,$945,$,Downtown,Apartment,Standard,$945 /mo,7/1/2024,Studio,1.0,334 Sq Ft,"Unit Electricity (Heat, Stove, A/C).","On Site (Washer: $1.50, Dryer: $1.25)","Elem: Lapham-Marquette, Mid: O'Keeffe, High: East",Paid Parking (Subject To Availability); Paid Parking,CatsPet Restrictions: Max of 2 cats per unit. No Dogs,No Smoking Allowed. A 650 credit score requirement applies for applications.,"['Carpeted', 'Air Conditioning', 'Bus route nearby', '']",https://www.madisonproperty.com/unit?id=11256_343
11263_343,15 N Hancock St #308,334,C*,Standard,8/1/24,$945,$,Downtown,Apartment,Standard,$945 /mo,8/1/2024,Studio,1.0,334 Sq Ft,"Unit Electricity (Heat, Stove, A/C).","On Site (Washer: $1.50, Dryer: $1.25)","Elem: Lapham-Marquette, Mid: O'Keeffe, High: East",Paid Parking (Subject To Availability); Paid Parking,CatsPet Restrictions: Max of 2 cats per unit. No Dogs,No Smoking Allowed. A 650 credit score requirement applies for applications.,"['Carpeted', 'Air Conditioning', 'Bus route nearby', '']",https://www.madisonproperty.com/unit?id=11263_343
7664_343,330 Island Dr #4,820,C*,Standard,9/1/24,$1395,Free,West,Apartment,Standard,"$1,395 /mo",9/1/2024,2,1.0,820 Sq Ft,"Unit Electricity (Stove, A/C).","On Site (Washer: $1.50, Dryer: $1.50)","Elem: Stephens, Mid: Jefferson, High: Memorial","Parking Included & Additional Paid Parking (Subject To Availability); Surface lot parking available first-come, first-served. Covered parking for $25/month-subject to availability.","CatsPet Restrictions: Max 2 cats, no rabbits, fish tanks no larger than 3 gallons. No dogs",No Smoking Allowed. A 600 credit score requirement applies for applications.,"['Carpeted', 'Dishwasher', 'Air Conditioning', 'Storage space', 'Bus route nearby', 'Heat included', 'Balcony', '']",https://www.madisonproperty.com/unit?id=7664_343
1184_343,1037 Jenifer St #1,1214,C*,Standard,9/1/24,$1795,$,Downtown,Apartment,Standard,"$1,795 /mo",9/1/2024,2,1.0,1214 Sq Ft,"1/3 House Electricity . 1/3 House Gas (Heat, Stove, Hot Water).","On Site (Washer: $1.00, Dryer: $1.00)","Elem: Lapham-Marquette, Mid: O'Keeffe, High: East",Paid Parking (Subject To Availability),CatsPet Restrictions: Max of 2 cats per unit. No Dogs,No Smoking Allowed. A 600 credit score requirement applies for applications.,"['Hardwood floors', 'Bus route nearby', 'Porch', 'Decorative Fireplace']",https://www.madisonproperty.com/unit?id=1184_343
1770_343,1037 Jenifer St #3,720,C*,Standard,9/1/24,$1595,$,Downtown,Apartment,Standard,"$1,595 /mo",9/1/2024,2,1.0,720 Sq Ft,"1/3 House Electricity . 1/3 House Gas (Heat, Stove, Hot Water).","On Site (Washer: $1.00, Dryer: $1.00)","Elem: Lapham-Marquette, Mid: O'Keeffe, High: East",Paid Parking (Subject To Availability),CatsPet Restrictions: Max of 2 cats per unit. No Dogs,No Smoking Allowed. A 600 credit score requirement applies for applications.,"['Hardwood floors', 'Bus route nearby']",https://www.madisonproperty.com/unit?id=1770_343
1194_327,321 E Johnson St,1030,C+D,Sublet,Now,$399,Street,Campus,Flat,Sublet,$399 /mo,Now,4,1.0,1030 Sq Ft,"Unit Electricity (A/C). Unit Gas (Heat, Stove, Hot Water).",Laundromat,"Elem: Lapham-Marquette, Mid: O'Keeffe, High: East",Street; Local Ordinances ApplyCheck for nearby parking.,Dogs & Cats,No Smoking Allowed.,"['Carpeted', 'Hardwood floors', 'Air Conditioning', 'Bus route nearby', 'Microwave', 'Porch', 'Private Entrance', 'Laminate Flooring']",https://www.madisonproperty.com/unit?id=1194_327
10743_325,142 W Johnson St #201,300,No,Campus,8/16/24,$1395,Street,Campus,Apartment,Campus,"$1,395 /mo",8/16/2024,Studio,1.0,300 Sq Ft,"Unit Electricity (Heat, Stove, A/C). Landlord provides Internet and Cable.",On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Street; Local Ordinances ApplyCheck for nearby parking.,No Pets,No Smoking Allowed.,"['Carpeted', 'Dishwasher', 'Furnished', 'Air Conditioning', 'Bus route nearby', 'Microwave', 'Building has a fitness center', 'Building has an elevator', 'Cable and Internet Included', 'Laminate Flooring', 'Gas (Utility) Included', '']",https://www.madisonproperty.com/unit?id=10743_325
13952_325,445 N. Lake St #1,515,No*,Campus,8/16/24,$1560,$,Campus,Apartment,Campus,"$1,560 /mo",8/16/2024,1,1.0,515 Sq Ft,Unit Electricity (Stove).,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Paid Parking (Subject To Availability); Paid Parking,No Pets,No Smoking Allowed.,"['Carpeted', 'Hardwood floors', 'Air Conditioning', 'Bus route nearby', 'Heat included', 'Gas (Utility) Included']",https://www.madisonproperty.com/unit?id=13952_325
13952_327,445 N. Lake St #1,515,No*,Sublet,6/1/24,$1400,$,Campus,Apartment,Sublet,"$1,400 /mo",6/1/2024,1,1.0,515 Sq Ft,Unit Electricity (Stove).,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Paid Parking (Subject To Availability); Paid Parking,No Pets,No Smoking Allowed.,"['Carpeted', 'Hardwood floors', 'Air Conditioning', 'Bus route nearby', 'Heat included', 'Gas (Utility) Included']",https://www.madisonproperty.com/unit?id=13952_327
13958_325,445 N. Lake St #7,470,No*,Campus,8/16/24,$1500,$,Campus,Apartment,Campus,"$1,500 /mo",8/16/2024,1,1.0,470 Sq Ft,Unit Electricity (Stove).,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Paid Parking (Subject To Availability); Paid Parking,No Pets,No Smoking Allowed.,"['Carpeted', 'Air Conditioning', 'Bus route nearby', 'Microwave', 'Heat included', 'Patio', 'Gas (Utility) Included', '']",https://www.madisonproperty.com/unit?id=13958_325
5095_343,358 E Lakeside St 5,500,No,Standard,7/1/24,$1195,Free,Downtown,Apartment,Standard,"$1,195 /mo",7/1/2024,1,1.0,500 Sq Ft,Unit Electricity .,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Parking Included,No Pets,No Smoking Allowed. A 550 credit score requirement applies for applications.,"['Carpeted', 'Hardwood floors', 'Microwave', 'Heat included']",https://www.madisonproperty.com/unit?id=5095_343
13943_325,241 Langdon St #104,580,No*,Campus,8/16/24,$1550,$,Campus,Apartment,Campus,"$1,550 /mo",8/16/2024,1,1.0,580 Sq Ft,Unit Electricity (Stove).,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Paid Parking (Subject To Availability); Paid Parking,No Pets,No Smoking Allowed.,"['Carpeted', 'Air Conditioning', 'Heat included', '']",https://www.madisonproperty.com/unit?id=13943_325
13948_325,241 Langdon St #301,1075,No*,Campus,8/16/24,$2715,$,Campus,Apartment,Campus,"$2,715 /mo",8/16/2024,2,2.0,1075 Sq Ft,Unit Electricity (Stove).,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Paid Parking (Subject To Availability); Paid Parking,No Pets,No Smoking Allowed.,"['Carpeted', 'Dishwasher', 'Air Conditioning', 'Heat included', 'Additional Storage', '']",https://www.madisonproperty.com/unit?id=13948_325
13976_325,247 Langdon St #1,580,No*,Campus,8/16/24,$1560,$,Campus,Apartment,Campus,"$1,560 /mo",8/16/2024,1,1.0,580 Sq Ft,Unit Electricity (Stove).,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Paid Parking (Subject To Availability); Paid Parking,No Pets,No Smoking Allowed.,"['Carpeted', 'Bus route nearby', 'Heat included', '']",https://www.madisonproperty.com/unit?id=13976_325
13981_325,247 Langdon St #6,530,No*,Campus,8/16/24,$1560,$,Campus,Apartment,Campus,"$1,560 /mo",8/16/2024,1,1.0,530 Sq Ft,Unit Electricity (Stove).,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Paid Parking (Subject To Availability); Paid Parking,No Pets,No Smoking Allowed.,"['Carpeted', 'Heat included']",https://www.madisonproperty.com/unit?id=13981_325
13982_325,247 Langdon St #7,480,No*,Campus,8/16/24,$1560,$,Campus,Apartment,Campus,"$1,560 /mo",8/16/2024,1,1.0,480 Sq Ft,Unit Electricity (Stove).,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Paid Parking (Subject To Availability); Paid Parking,No Pets,No Smoking Allowed.,"['Carpeted', 'Dishwasher', 'Air Conditioning', 'Heat included']",https://www.madisonproperty.com/unit?id=13982_325
17398_343,252 Langdon St #51,100,No*,Standard,8/15/24,$825,Street,Downtown,Room,Standard,$825 /mo,8/15/2024,1,1.0,100 Sq Ft,Landlord pays all utilities.,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Street; Local Ordinances ApplyCheck for nearby parking.,No Pets,No Smoking Allowed.,"['Landlord Pays All Utilities', '']",https://www.madisonproperty.com/unit?id=17398_343
17398_382,252 Langdon St #51,100,No*,Short Term w/ Renewal,6/1/24,$550,Street,Downtown,Room,Short Term w/ Renewal Option,$550 /mo,6/1/2024,1,1.0,100 Sq Ft,Landlord pays all utilities.,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Street; Local Ordinances ApplyCheck for nearby parking.,No Pets,No Smoking Allowed.,"['Landlord Pays All Utilities', '']",https://www.madisonproperty.com/unit?id=17398_382
17399_343,252 Langdon St #52,100,No*,Standard,8/15/24,$825,Street,Downtown,Room,Standard,$825 /mo,8/15/2024,1,1.0,100 Sq Ft,Landlord pays all utilities.,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Street; Local Ordinances ApplyCheck for nearby parking.,No Pets,No Smoking Allowed.,"['Landlord Pays All Utilities', '']",https://www.madisonproperty.com/unit?id=17399_343
17399_382,252 Langdon St #52,100,No*,Short Term w/ Renewal,6/1/24,$550,Street,Downtown,Room,Short Term w/ Renewal Option,$550 /mo,6/1/2024,1,1.0,100 Sq Ft,Landlord pays all utilities.,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Street; Local Ordinances ApplyCheck for nearby parking.,No Pets,No Smoking Allowed.,"['Landlord Pays All Utilities', '']",https://www.madisonproperty.com/unit?id=17399_382
17400_343,252 Langdon St #53,100,No*,Standard,8/15/24,$825,$,Downtown,Room,Standard,$825 /mo,8/15/2024,1,1.0,100 Sq Ft,Landlord pays all utilities.,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Paid Parking (Subject To Availability),No Pets,No Smoking Allowed.,"['Landlord Pays All Utilities', '']",https://www.madisonproperty.com/unit?id=17400_343
17400_382,252 Langdon St #53,100,No*,Short Term w/ Renewal,6/1/24,$550,$,Downtown,Room,Short Term w/ Renewal Option,$550 /mo,6/1/2024,1,1.0,100 Sq Ft,Landlord pays all utilities.,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Paid Parking (Subject To Availability),No Pets,No Smoking Allowed.,"['Landlord Pays All Utilities', '']",https://www.madisonproperty.com/unit?id=17400_382
17472_343,252 Langdon St #100,100,No*,Standard,8/15/24,$925,Street,Downtown,Room,Standard,$925 /mo,8/15/2024,1,1.0,100 Sq Ft,Landlord pays all utilities.,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Street; Local Ordinances ApplyCheck for nearby parking.,No Pets,No Smoking Allowed.,[],https://www.madisonproperty.com/unit?id=17472_343
17472_382,252 Langdon St #100,100,No*,Short Term w/ Renewal,Now,$600,Street,Downtown,Room,Short Term w/ Renewal Option,$600 /mo,Now,1,1.0,100 Sq Ft,Landlord pays all utilities.,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Street; Local Ordinances ApplyCheck for nearby parking.,No Pets,No Smoking Allowed.,[],https://www.madisonproperty.com/unit?id=17472_382
17401_343,252 Langdon St #151,100,No*,Standard,8/15/24,$825,Street,Downtown,Room,Standard,$825 /mo,8/15/2024,1,1.0,100 Sq Ft,Landlord pays all utilities.,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Street; Local Ordinances ApplyCheck for nearby parking.,No Pets,No Smoking Allowed.,"['Landlord Pays All Utilities', '']",https://www.madisonproperty.com/unit?id=17401_343
17401_382,252 Langdon St #151,100,No*,Short Term w/ Renewal,6/1/24,$550,Street,Downtown,Room,Short Term w/ Renewal Option,$550 /mo,6/1/2024,1,1.0,100 Sq Ft,Landlord pays all utilities.,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Street; Local Ordinances ApplyCheck for nearby parking.,No Pets,No Smoking Allowed.,"['Landlord Pays All Utilities', '']",https://www.madisonproperty.com/unit?id=17401_382
17402_343,252 Langdon St #152,100,No*,Standard,8/15/24,$825,Street,Downtown,Room,Standard,$825 /mo,8/15/2024,1,1.0,100 Sq Ft,Landlord pays all utilities.,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Street; Local Ordinances ApplyCheck for nearby parking.,No Pets,No Smoking Allowed.,"['Landlord Pays All Utilities', '']",https://www.madisonproperty.com/unit?id=17402_343
17402_382,252 Langdon St #152,100,No*,Short Term w/ Renewal,6/1/24,$550,Street,Downtown,Room,Short Term w/ Renewal Option,$550 /mo,6/1/2024,1,1.0,100 Sq Ft,Landlord pays all utilities.,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Street; Local Ordinances ApplyCheck for nearby parking.,No Pets,No Smoking Allowed.,"['Landlord Pays All Utilities', '']",https://www.madisonproperty.com/unit?id=17402_382
17403_343,252 Langdon St #153,100,No*,Standard,8/15/24,$825,Street,Downtown,Room,Standard,$825 /mo,8/15/2024,1,1.0,100 Sq Ft,Landlord pays all utilities.,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Street; Local Ordinances ApplyCheck for nearby parking.,No Pets,No Smoking Allowed.,"['Landlord Pays All Utilities', '']",https://www.madisonproperty.com/unit?id=17403_343
17403_382,252 Langdon St #153,100,No*,Short Term w/ Renewal,6/1/24,$550,Street,Downtown,Room,Short Term w/ Renewal Option,$550 /mo,6/1/2024,1,1.0,100 Sq Ft,Landlord pays all utilities.,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Street; Local Ordinances ApplyCheck for nearby parking.,No Pets,No Smoking Allowed.,"['Landlord Pays All Utilities', '']",https://www.madisonproperty.com/unit?id=17403_382
17404_343,252 Langdon St #154,100,No*,Standard,8/15/24,$825,Street,Downtown,Room,Standard,$825 /mo,8/15/2024,1,1.0,100 Sq Ft,Landlord pays all utilities.,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Street; Local Ordinances ApplyCheck for nearby parking.,No Pets,No Smoking Allowed.,"['Landlord Pays All Utilities', '']",https://www.madisonproperty.com/unit?id=17404_343
17404_382,252 Langdon St #154,100,No*,Short Term w/ Renewal,6/1/24,$550,Street,Downtown,Room,Short Term w/ Renewal Option,$550 /mo,6/1/2024,1,1.0,100 Sq Ft,Landlord pays all utilities.,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Street; Local Ordinances ApplyCheck for nearby parking.,No Pets,No Smoking Allowed.,"['Landlord Pays All Utilities', '']",https://www.madisonproperty.com/unit?id=17404_382
17405_343,252 Langdon St #200,100,No*,Standard,8/15/24,$825,Street,Downtown,Room,Standard,$825 /mo,8/15/2024,1,1.0,100 Sq Ft,Landlord pays all utilities.,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Street; Local Ordinances ApplyCheck for nearby parking.,No Pets,No Smoking Allowed.,"['Landlord Pays All Utilities', '']",https://www.madisonproperty.com/unit?id=17405_343
17405_382,252 Langdon St #200,100,No*,Short Term w/ Renewal,6/1/24,$550,Street,Downtown,Room,Short Term w/ Renewal Option,$550 /mo,6/1/2024,1,1.0,100 Sq Ft,Landlord pays all utilities.,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Street; Local Ordinances ApplyCheck for nearby parking.,No Pets,No Smoking Allowed.,"['Landlord Pays All Utilities', '']",https://www.madisonproperty.com/unit?id=17405_382
17406_343,252 Langdon St #201,100,No*,Standard,8/15/24,$825,Street,Downtown,Room,Standard,$825 /mo,8/15/2024,1,1.0,100 Sq Ft,Landlord pays all utilities.,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Street; Local Ordinances ApplyCheck for nearby parking.,No Pets,No Smoking Allowed.,"['Landlord Pays All Utilities', '']",https://www.madisonproperty.com/unit?id=17406_343
17406_382,252 Langdon St #201,100,No*,Short Term w/ Renewal,6/1/24,$550,Street,Downtown,Room,Short Term w/ Renewal Option,$550 /mo,6/1/2024,1,1.0,100 Sq Ft,Landlord pays all utilities.,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Street; Local Ordinances ApplyCheck for nearby parking.,No Pets,No Smoking Allowed.,"['Landlord Pays All Utilities', '']",https://www.madisonproperty.com/unit?id=17406_382
17407_343,252 Langdon St #202,100,No*,Standard,8/15/24,$825,Street,Downtown,Room,Standard,$825 /mo,8/15/2024,1,1.0,100 Sq Ft,Landlord pays all utilities.,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Street; Local Ordinances ApplyCheck for nearby parking.,No Pets,No Smoking Allowed.,"['Landlord Pays All Utilities', '']",https://www.madisonproperty.com/unit?id=17407_343
17407_382,252 Langdon St #202,100,No*,Short Term w/ Renewal,6/1/24,$550,Street,Downtown,Room,Short Term w/ Renewal Option,$550 /mo,6/1/2024,1,1.0,100 Sq Ft,Landlord pays all utilities.,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Street; Local Ordinances ApplyCheck for nearby parking.,No Pets,No Smoking Allowed.,"['Landlord Pays All Utilities', '']",https://www.madisonproperty.com/unit?id=17407_382
17409_343,252 Langdon St #206,100,No*,Standard,8/15/24,$825,Street,Downtown,Room,Standard,$825 /mo,8/15/2024,1,1.0,100 Sq Ft,Landlord pays all utilities.,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Street; Local Ordinances ApplyCheck for nearby parking.,No Pets,No Smoking Allowed.,"['Landlord Pays All Utilities', '']",https://www.madisonproperty.com/unit?id=17409_343
17409_382,252 Langdon St #206,100,No*,Short Term w/ Renewal,6/1/24,$550,Street,Downtown,Room,Short Term w/ Renewal Option,$550 /mo,6/1/2024,1,1.0,100 Sq Ft,Landlord pays all utilities.,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Street; Local Ordinances ApplyCheck for nearby parking.,No Pets,No Smoking Allowed.,"['Landlord Pays All Utilities', '']",https://www.madisonproperty.com/unit?id=17409_382
17410_343,252 Langdon St #208,100,No*,Standard,8/15/24,$825,Street,Downtown,Room,Standard,$825 /mo,8/15/2024,1,1.0,100 Sq Ft,Landlord pays all utilities.,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Street; Local Ordinances ApplyCheck for nearby parking.,No Pets,No Smoking Allowed.,"['Landlord Pays All Utilities', '']",https://www.madisonproperty.com/unit?id=17410_343
17410_382,252 Langdon St #208,100,No*,Short Term w/ Renewal,6/1/24,$550,Street,Downtown,Room,Short Term w/ Renewal Option,$550 /mo,6/1/2024,1,1.0,100 Sq Ft,Landlord pays all utilities.,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Street; Local Ordinances ApplyCheck for nearby parking.,No Pets,No Smoking Allowed.,"['Landlord Pays All Utilities', '']",https://www.madisonproperty.com/unit?id=17410_382
17412_343,252 Langdon St #251,100,No*,Standard,8/15/24,$825,Street,Downtown,Room,Standard,$825 /mo,8/15/2024,1,1.0,100 Sq Ft,Landlord pays all utilities.,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Street; Local Ordinances ApplyCheck for nearby parking.,No Pets,No Smoking Allowed.,"['Landlord Pays All Utilities', '']",https://www.madisonproperty.com/unit?id=17412_343
17412_382,252 Langdon St #251,100,No*,Short Term w/ Renewal,Now,$550,Street,Downtown,Room,Short Term w/ Renewal Option,$550 /mo,Now,1,1.0,100 Sq Ft,Landlord pays all utilities.,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Street; Local Ordinances ApplyCheck for nearby parking.,No Pets,No Smoking Allowed.,"['Landlord Pays All Utilities', '']",https://www.madisonproperty.com/unit?id=17412_382
17413_343,252 Langdon St #252,100,No*,Standard,8/15/24,$825,Street,Downtown,Room,Standard,$825 /mo,8/15/2024,1,1.0,100 Sq Ft,Landlord pays all utilities.,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Street; Local Ordinances ApplyCheck for nearby parking.,No Pets,No Smoking Allowed.,"['Landlord Pays All Utilities', '']",https://www.madisonproperty.com/unit?id=17413_343
17413_382,252 Langdon St #252,100,No*,Short Term w/ Renewal,6/1/24,$550,Street,Downtown,Room,Short Term w/ Renewal Option,$550 /mo,6/1/2024,1,1.0,100 Sq Ft,Landlord pays all utilities.,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Street; Local Ordinances ApplyCheck for nearby parking.,No Pets,No Smoking Allowed.,"['Landlord Pays All Utilities', '']",https://www.madisonproperty.com/unit?id=17413_382
17414_343,252 Langdon St #253,100,No*,Standard,8/15/24,$825,Street,Downtown,Room,Standard,$825 /mo,8/15/2024,1,1.0,100 Sq Ft,Landlord pays all utilities.,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Street; Local Ordinances ApplyCheck for nearby parking.,No Pets,No Smoking Allowed.,"['Landlord Pays All Utilities', '']",https://www.madisonproperty.com/unit?id=17414_343
17414_382,252 Langdon St #253,100,No*,Short Term w/ Renewal,6/1/24,$550,Street,Downtown,Room,Short Term w/ Renewal Option,$550 /mo,6/1/2024,1,1.0,100 Sq Ft,Landlord pays all utilities.,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Street; Local Ordinances ApplyCheck for nearby parking.,No Pets,No Smoking Allowed.,"['Landlord Pays All Utilities', '']",https://www.madisonproperty.com/unit?id=17414_382
17417_382,252 Langdon St #301,100,No*,Short Term w/ Renewal,6/1/24,$800,Street,Downtown,Room,Short Term w/ Renewal Option,$800 /mo,6/1/2024,1,1.0,100 Sq Ft,Landlord pays all utilities.,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Street; Local Ordinances ApplyCheck for nearby parking.,No Pets,No Smoking Allowed.,"['Landlord Pays All Utilities', '']",https://www.madisonproperty.com/unit?id=17417_382
17419_382,252 Langdon St #304,100,No*,Short Term w/ Renewal,6/1/24,$550,$,Downtown,Room,Short Term w/ Renewal Option,$550 /mo,6/1/2024,1,1.0,100 Sq Ft,Landlord pays all utilities.,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Paid Parking (Subject To Availability),No Pets,No Smoking Allowed.,"['Landlord Pays All Utilities', '']",https://www.madisonproperty.com/unit?id=17419_382
17421_343,252 Langdon St #350,100,No*,Standard,8/15/24,$1250,$,Downtown,Room,Standard,"$1,250 /mo",8/15/2024,1,1.0,100 Sq Ft,Landlord pays all utilities.,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Paid Parking (Subject To Availability),No Pets,No Smoking Allowed.,"['Landlord Pays All Utilities', '']",https://www.madisonproperty.com/unit?id=17421_343
17421_382,252 Langdon St #350,100,No*,Short Term w/ Renewal,6/1/24,$800,$,Downtown,Room,Short Term w/ Renewal Option,$800 /mo,6/1/2024,1,1.0,100 Sq Ft,Landlord pays all utilities.,On Site,"Elem: Franklin- Randall, Mid: Hamilton, High: West",Paid Parking (Subject To Availability),No Pets,No Smoking Allowed.,"['Landlord Pays All Utilities', '']",https://www.madisonproperty.com/unit?id=17421_382
2999_382,10 N Livingston St #602,1182,C*,Short Term w/ Renewal,4/1/24,$2980,$,Downtown,Apartment,Short Term w/ Renewal Option,"$2,980 /mo",4/1/2024,3,2.0,1182 Sq Ft,"Heat, Electric, and A/C",In Unit,"Elem: Lapham-Marquette, Mid: O'Keeffe, High: East",Paid Parking (Subject To Availability); Parking options subject to availability. Limits apply based on apartment size-please inquire,CatsPet Restrictions: No Dogs,No Smoking Allowed. A 630 credit score requirement applies for applications.,"['Carpeted', 'Dishwasher', 'Bus route nearby', 'Breakfast bar', 'Microwave', 'Stainless appliances', 'Building has a fitness center', 'Community room on-site', 'Building has an elevator', 'Property has on-site vending machines', 'Central Air', 'On-site management office', 'Balcony', '']",https://www.madisonproperty.com/unit?id=2999_382
